"";"geneID";"cluster"
"870";"ALDH1B1";49
"871";"BACE1";49
"872";"PTHLH";49
"873";"TMEM47";49
"874";"XG";49
"875";"DUSP26";42
"876";"CARMN";42
"877";"LGR6";42
"878";"SNTA1";42
"879";"SNTB1";42
"880";"DIO2";42
"881";"NPY1R";42
"882";"SOST";42
"883";"DUSP26";42
"884";"SEMA7A";16
"885";"CBFA2T3";16
"886";"KCNN4";16
"887";"NME1";16
"888";"PTGS1";16
"889";"RYR2";16
"890";"ABCC3";16
"891";"ALDH3A1";16
"892";"CDKN3";16
"893";"CYB5A";16
"894";"GDF6";16
"895";"LRRN2";16
"896";"LSR";16
"897";"NFE2L3";16
"898";"PITPNM3";16
"899";"RRAD";16
"900";"SEMA7A";16
"901";"GALNT18";67
"902";"CD109";67
"903";"COL4A1";67
"904";"COL4A2";67
"905";"MARCKS";67
"906";"GALNT18";67
"907";"JPH4";48
"908";"CD46";48
"909";"ITGAM";48
"910";"PI15";48
"911";"STMN1";48
"912";"STMN3";48
"913";"TMEM25";48
"914";"JPH4";48
"915";"FGD5";66
"916";"CD59";66
"917";"FLI1";66
"918";"MPZL2";66
"919";"ROBO3";66
"920";"FGD5";66
"921";"NUMB";83
"922";"CD74";83
"923";"FOXO1";83
"924";"PNP";83
"925";"LDB2";83
"926";"NUMB";83
"927";"TNFAIP8L1";55
"928";"CD93";55
"929";"ENY2";55
"930";"GRB10";55
"931";"HLA-B";55
"932";"HLA-DRA";55
"933";"MYO15B";55
"934";"PCGF3";55
"935";"PIM3";55
"936";"SINHCAF";55
"937";"SLC12A7";55
"938";"STAB1";55
"939";"THSD7A";55
"940";"TNFAIP8L1";55
"941";"CCDC102B";25
"942";"CDH2";25
"943";"COL4A5";25
"944";"COL6A2";25
"945";"GPC1";25
"946";"LDB3";25
"947";"PMP22";25
"948";"RGS2";25
"949";"SORBS1";25
"950";"SPSB1";25
"951";"AOC3";25
"952";"APOC1";25
"953";"CCDC102B";25
"954";"VWA1";41
"955";"CHD7";41
"956";"CLEC2B";41
"957";"GNG11";41
"958";"LPAR6";41
"959";"MYO10";41
"960";"SHC1";41
"961";"STRN4";41
"962";"ADGRG6";41
"963";"VWA1";41
"964";"NQO1";75
"965";"CHKB";75
"966";"TMED5";75
"967";"ACVR1";75
"968";"LIMA1";75
"969";"NQO1";75
"970";"ITGB4";84
"971";"CLDN5";84
"972";"HLA-DMA";84
"973";"HLA-DRB1";84
"974";"HLA-DRB6";84
"975";"ITGB4";84
"976";"TUBAL3";22
"977";"CLEC3B";22
"978";"EPB41L3";22
"979";"IFITM1";22
"980";"ESM1";22
"981";"FAM110D";22
"982";"MEOX1";22
"983";"SLCO2A1";22
"984";"ST6GALNAC1";22
"985";"TM4SF18";22
"986";"TMEM255B";22
"987";"UBD";22
"988";"RAB3C";22
"989";"ADM5";22
"990";"TUBAL3";22
"991";"SFRP5";29
"992";"CP";29
"993";"EFEMP1";29
"994";"FGF2";29
"995";"IGFBP3";29
"996";"IRF6";29
"997";"SERPINE1";29
"998";"TMEM98";29
"999";"PTPRF";29
"1000";"SERPINE2";29
"1001";"SFRP5";29
"1002";"ADRB2";60
"1003";"CRIP2";60
"1004";"IQCK";60
"1005";"PAPSS1";60
"1006";"SERPINB9";60
"1007";"TSPAN6";60
"1008";"ADRB2";60
"1009";"SNCAIP";73
"1010";"DKK2";73
"1011";"IFI6";73
"1012";"PTPRJ";73
"1013";"DCUN1D3";73
"1014";"SNCAIP";73
"1015";"PLAC9";51
"1016";"DSTN";51
"1017";"FLNA";51
"1018";"LGALS1";51
"1019";"TNS1";51
"1020";"GUCY1A1";51
"1021";"MYH11";51
"1022";"PLAC9";51
"1023";"ABLIM3";28
"1024";"DUSP6";28
"1025";"FAM167B";28
"1026";"GNS";28
"1027";"HLA-DMB";28
"1028";"PTBP3";28
"1029";"RNF145";28
"1030";"SMAD9";28
"1031";"TLL1";28
"1032";"TRIM47";28
"1033";"TSHZ2";28
"1034";"ABLIM3";28
"1035";"RAPGEF4";35
"1036";"EGFL7";35
"1037";"FAM43A";35
"1038";"MAPK11";35
"1039";"MYCT1";35
"1040";"PDGFB";35
"1041";"PLVAP";35
"1042";"TAMALIN";35
"1043";"RAMP3";35
"1044";"RAPGEF4";35
"1045";"UCK2";33
"1046";"ELK3";33
"1047";"FABP5";33
